bit_index,variance,variance_rank
234,0.03216401769628251,257
1459,0.03184463128307627,258
42,0.03156831404300416,259
996,0.03153295013299248,260
1269,0.031384246055429554,261
1446,0.03118059824673613,262
861,0.030699989543352537,263
800,0.030472148773688586,264
1584,0.0302514283222137,265
2023,0.02955815274837851,266
2044,0.029337698768174894,267
2022,0.029281117156657283,268
664,0.029150516524213594,269
26,0.029053266527533643,270
672,0.028969062676403694,271
1180,0.028747588077599265,272
1064,0.02870255344800059,273
588,0.02863499291085099,274
1136,0.028541989502678576,275
1999,0.02854053616944042,276
244,0.028490393252440346,277
645,0.028433703120103192,278
1208,0.028419166020382757,279
1369,0.028311576661072712,280
1377,0.028184325818804645,281
341,0.027843113518493185,282
229,0.02781036081067564,283
184,0.027796531164742042,284
361,0.02776595884126489,285
1731,0.02776595884126489,286
1103,0.02758029601753436,287
1265,0.027554078550638766,288
997,0.0275096509823987,289
1762,0.027417868517495968,290
896,0.027303478167271186,291
716,0.02724663636616224,292
1300,0.027035966981708928,293
769,0.02695137963932394,294
724,0.026785804547910668,295
1455,0.026785075006311294,296
448,0.026701169770437155,297
346,0.026648629770810006,298
1120,0.026550830539039012,299
1529,0.026472721751047652,300
978,0.02646688129325503,301
711,0.02637561423011728,302
1449,0.02628798032422603,303
1602,0.026111199726782667,304
119,0.025976741308318993,305
1303,0.025962854715958373,306
475,0.025955545810268595,307
374,0.025945313142014002,308
5,0.025894877291763548,309
804,0.02589195330029713,310
1210,0.025876602032147027,311
1752,0.02575084804780325,312
1748,0.02571209116509002,313
1979,0.025707703382443443,314
193,0.025592142993327432,315
1537,0.02540411093547271,316
354,0.02518598295679514,317
809,0.025175732729880048,318
1744,0.025154499373650396,319
646,0.024981666505058616,320
684,0.024872513253035966,321
1317,0.02482268955005162,322
1279,0.024814629315383294,323
1105,0.02471349775076052,324
1250,0.024643865000776678,325
1359,0.0246196742644436,326
1147,0.02459694845068455,327
1535,0.02442756840660263,328
1394,0.024402632639661685,329
1680,0.02437622856073391,330
3,0.024311678752067675,331
1005,0.024225108836862304,332
481,0.024142925426269557,333
1643,0.024110634994777676,334
1244,0.024090819269097025,335
1233,0.024079076206726453,336
1816,0.024021824407079912,337
602,0.024015217963452944,338
917,0.02395942636647706,339
1428,0.023823589091250052,340
964,0.023778056119016826,341
1238,0.023686241837983416,342
1432,0.0236443683419123,343
1934,0.023502557391736064,344
782,0.023394516149663785,345
1753,0.02332100398245844,346
1976,0.023301153653293213,347
867,0.02318423964143125,348
757,0.023092304948616874,349
175,0.02305037654477364,350
13,0.023021686457721843,351
897,0.022987108815180325,352
677,0.022934869509998554,353
137,0.022911323069684908,354
1872,0.02287820882251453,355
310,0.022876001120198403,356
1274,0.022815653102088402,357
1809,0.022806821012405554,358
469,0.022785476086911567,359
453,0.022763394074410664,360
1018,0.022747936027239155,361
745,0.02274499157769193,362
211,0.02271260137371366,363
871,0.02257344447444265,364
158,0.022489487976531303,365
71,0.022432771750603552,366
1614,0.022413619220823158,367
60,0.022226471343099463,368
1329,0.022189622149000818,369
1417,0.022173407559378296,370
1907,0.022125497446377998,371
592,0.02211812621268912,372
1082,0.02210928057489262,373
213,0.022054728681580326,374
1640,0.02203482298683977,375
750,0.022005331471163174,376
534,0.022003856845307115,377
856,0.021922007633439752,378
44,0.021812852501324243,379
1089,0.02180252566390376,380
539,0.021786297304419163,381
883,0.021772281438685818,382
1221,0.021729493502168584,383
980,0.02169998224372869,384
1316,0.021577490137038476,385
2002,0.021567157975271322,386
1783,0.021412147508317627,387
309,0.021381877425563866,388
1692,0.021313208589769574,389
419,0.021172146710552953,390
112,0.020945322607360567,391
1113,0.020915021632427915,392
1544,0.02091206533245393,393
331,0.02081449673216253,394
673,0.020786404950983012,395
746,0.020746482089997624,396
1156,0.020699901025010195,397
1070,0.020691027904714932,398
722,0.020649617740062808,399
1436,0.02063408796442792,400
1055,0.02057344285349621,401
186,0.02044029132727771,402
1693,0.020424754466422876,403
308,0.020415136146227933,404
304,0.020388499746479043,405
259,0.020365561608599883,406
647,0.020356682021834323,407
364,0.02032042192747159,408
816,0.020221987242197793,409
1498,0.020164989101293718,410
840,0.02012353146817159,411
201,0.020115387565198425,412
1058,0.020111685743431883,413
1977,0.02010058009930287,414
